correlation,id
0.45783925,0
0.49478558,0
0.48095042,0
0.37847316,0
0.4381007,0
0.41285175,0
0.4170402,0
0.42783806,0
0.41903055,0
0.46512794,0
0.41284984,0
0.43632615,0
0.41387987,0
0.43775868,0
0.4845577,0
0.4731263,0
0.42867264,0
0.4819237,0
0.3148648,0
0.5399847,0
0.28736907,0
0.4616155,0
0.4852239,0
0.40112928,0
0.49125737,0
0.46845335,0
0.43700948,0
0.4771111,0
0.27433097,0
0.46345806,0
0.3918196,0
0.32203844,0
0.31828368,0
0.32266933,0
0.4741711,0
0.47140914,0
0.52057236,0
0.39780504,0
0.5153179,0
0.41264156,0
0.44534636,0
0.35465467,0
0.48127043,0
0.44926268,0
0.47681308,0
0.4548438,0
0.4937369,0
0.32677168,0
0.44380552,0
0.4781001,0
