correlation,id
0.5568306,0
0.50157005,0
0.53584677,0
0.4944012,0
0.5309691,0
0.5753733,0
0.4700738,0
0.55657977,0
0.46137357,0
0.501813,0
0.42880535,0
0.4926174,0
0.4332971,0
0.5115334,0
0.4972935,0
0.5800306,0
0.49586925,0
0.5187835,0
0.58133984,0
0.4388836,0
0.44555414,0
0.5586081,0
0.56519866,0
0.539037,0
0.5032633,0
0.44345295,0
0.51631826,0
0.4194258,0
0.48976806,0
0.46869054,0
0.5604833,0
0.50448203,0
0.5504244,0
0.62424755,0
0.5161904,0
0.55640405,0
0.5370057,0
0.49617505,0
0.43817297,0
0.5704227,0
0.49929175,0
0.51376235,0
0.39837185,0
0.5502411,0
0.4875718,0
0.5323882,0
0.51021063,0
0.5097932,0
0.5567496,0
0.50443137,0
